start_time,execution_time,part_numbers,n_suppliers,LTL_zones,horizon,obj_value,obj_bound,obj_gap,trans_costs,order_cost,load_car_rent,load_car_invest,trans_costs_FTL,trans_costs_CES,trans_costs_LTL,share_suppl_FTL,share_suppl_CES,share_suppl_LTL
2023-07-28_19:09:54.852734,0.5069258213043213,3927,25,10,10,4739.135310743118,4739.135310743099,0.0,3144.4218217021557,1300.0,84.73543682720819,2228.3299547503457,0.0,2355.859999999999,788.5618217021566,0.0,32.0,68.0
2023-07-28_19:09:57.871349,0.6806766986846924,3927,25,10,10,4752.187333490029,4752.187333490029,0.0,2958.52764313638,1350.0,44.89336232815007,1177.0380542568846,0.0,2354.2199999999993,604.3076431363804,0.0,52.0,48.0
2023-07-28_19:10:00.420717,0.5243070125579834,3927,25,10,10,4742.945447238376,4742.945447238376,0.0,2916.5854024659634,1450.0,45.68382007885575,495.9303601526994,0.0,2355.039999999999,561.5454024659643,0.0,52.0,48.0
2023-07-28_19:10:02.856267,0.38063693046569824,3927,25,10,10,5186.742705891746,5186.742705891742,0.0,3085.170143755446,1850.0,31.985581488249966,575.2483221418006,4.196872521575039e-12,2355.449999999999,729.720143755443,0.0,40.0,60.0
2023-07-28_19:10:05.293259,0.3641955852508545,3927,25,10,10,4818.231747986369,4818.231747986369,0.0,3110.404421335209,1450.0,66.45857069313857,674.1498906411886,-2.775570023178613e-11,2356.679999999999,753.7244213352378,0.0,36.0,64.0
2023-07-28_19:10:08.455041,0.5465567111968994,3927,25,10,15,6710.162734759419,6710.16273475938,0.0,4341.8920631523415,1600.0,40.691894788353444,952.2776128379879,1.270615315941982e-11,3535.019999999979,806.8720631523495,0.0,36.0,64.0
2023-07-28_19:10:11.900954,0.762190580368042,3927,25,10,15,6275.465891893625,6275.4658918936175,0.0,4343.6486959228905,1400.0,66.62286329908837,716.3379057162814,0.0,3535.019999999979,808.6286959229112,0.0,28.000000000000004,72.0
2023-07-28_19:10:15.962522,1.2802984714508057,3927,25,10,15,5905.4427497090865,5905.4427497089955,0.0,4007.5999475626095,1450.0,69.01410095652842,381.4263488735186,0.0,3533.3799999999787,474.21994756263075,0.0,56.00000000000001,44.0
2023-07-28_19:10:20.153279,1.1704282760620117,3927,25,10,15,5755.9034444892295,5755.9034444892295,0.0,3980.2733418182183,1400.0,38.933570944811215,2333.136219461416,0.0,3532.559999999979,447.71334181823926,0.0,60.0,40.0
2023-07-28_19:10:24.014345,1.0871498584747314,3927,25,10,15,6204.4561959165185,6204.456195916398,1.934952828146969e-14,4245.214368450807,1450.0,89.27852490492388,1543.6387556164161,0.0,3534.199999999979,711.0143684508283,0.0,36.0,64.0
2023-07-28_19:10:29.773333,2.371342658996582,3927,25,10,20,7778.90109286726,7778.901092867252,0.0,5333.964629264543,1650.0,240.72354747199557,1353.5328096221642,0.0,4712.539999999988,621.4246292645547,0.0,48.0,52.0
2023-07-28_19:10:36.369793,2.9822022914886475,3927,25,10,20,8161.917685445716,8161.917685445716,0.0,5414.411619808145,1800.0,46.61901069971866,1135.7495260676208,0.0,4712.539999999988,701.8716198081563,0.0,48.0,52.0
2023-07-28_19:10:41.514460,1.6853978633880615,3927,25,10,20,7072.371719738833,7072.3717197388205,0.0,5309.286586711667,1500.0,126.21730982848534,1498.0765087003815,0.0,4711.719999999988,597.5665867116788,0.0,52.0,48.0
2023-07-28_19:10:46.484982,1.603841781616211,3927,25,10,20,7667.757362201836,7667.757362201836,0.0,5228.581767144842,1500.0,105.70105436699413,1087.0317320754386,0.0,4712.949999999989,515.6317671448535,0.0,52.0,48.0
2023-07-28_19:10:51.116046,1.3823773860931396,3927,25,10,20,8119.78477763215,8119.7847776321,0.0,5746.1548540266085,1750.0,50.73590803021329,1167.0898155742411,0.0,4713.769999999989,1032.3848540266204,0.0,24.0,76.0
2023-07-28_19:10:53.914927,0.40596485137939453,3927,25,20,10,4582.55488558708,4582.137481062981,9.108554824114926e-05,2994.5321377988216,1250.0,50.49820205085354,1537.7917671870996,-8.215298970434312e-12,2355.4499999999994,639.0821377988303,0.0,44.0,56.00000000000001
2023-07-28_19:10:56.429091,0.37192320823669434,3927,25,20,10,4692.02215879829,4692.022158798228,0.0,2919.857252748812,1350.0,84.67980118741221,837.8022471784896,-1.4841211737245993e-11,2354.219999999999,565.6372527488279,0.0,52.0,48.0
2023-07-28_19:10:58.940321,0.3618903160095215,3927,25,20,10,4866.268931166456,4866.132606813255,2.801414289463435e-05,2933.7995294224734,1600.0,60.13948365889892,315.1399974122306,2.506121101174412e-11,2355.4499999999994,578.349529422449,0.0,48.0,52.0
2023-07-28_19:11:01.461722,0.3623642921447754,3927,25,20,10,4554.1982856493105,4554.198285649241,0.0,2704.2211166208667,1250.0,67.13003730867045,1894.2104910183346,0.0,2354.629999999999,349.5911166208674,0.0,68.0,32.0
2023-07-28_19:11:04.047843,0.3948523998260498,3927,25,20,10,4976.36348891373,4976.363488913572,3.1800747365227875e-14,2876.4515949132438,1500.0,53.42265429660103,722.0106099706919,-2.0443242264546596e-12,2356.6799999999994,519.7715949132466,0.0,52.0,48.0
2023-07-28_19:11:07.348878,0.6031918525695801,3927,25,20,15,6149.107657283803,6149.107657283725,0.0,4100.655906501331,1450.0,103.30189730964076,1453.0548035592824,0.0,3533.379999999979,567.2759065013518,0.0,48.0,52.0
2023-07-28_19:11:10.855471,0.7376804351806641,3927,25,20,15,6297.850803937964,6297.850803937964,0.0,4142.077439416341,1300.0,55.32757335391942,3245.785787135657,0.0,3533.789999999979,608.2874394163616,0.0,44.0,56.00000000000001
2023-07-28_19:11:15.352439,1.5497164726257324,3927,25,20,15,5682.333071540283,5681.952357254748,6.699964270690873e-05,3878.0752322756907,1300.0,96.31641820957414,3932.836121055853,0.0,3532.5599999999795,345.51523227571147,0.0,76.0,24.0
2023-07-28_19:11:18.760330,0.6128101348876953,3927,25,20,15,6392.8856215860815,6392.885621585914,2.61770716749817e-14,4014.7924064364142,1750.0,19.059348195970838,745.5053709579466,0.0,3533.789999999979,481.0024064364351,0.0,52.0,48.0
2023-07-28_19:11:22.301982,0.746814489364624,3927,25,20,15,6272.207489343733,6272.207489343715,0.0,4159.432277122752,1550.0,120.07828802925344,653.4996211644649,3.4301984246779335e-12,3533.3799999999787,626.0522771227697,0.0,52.0,48.0
2023-07-28_19:11:26.477375,0.8318243026733398,3927,25,20,20,8014.287933349562,8014.287933349562,0.0,5547.018566558793,1600.0,71.33984739286126,1520.2810727274546,-3.220815272606981e-12,4714.1799999999885,832.8385665588079,0.0,28.000000000000004,72.0
2023-07-28_19:11:31.144232,1.2343323230743408,3927,25,20,20,7772.327053476958,7772.327053476958,0.0,5593.343812370449,1450.0,148.231555648631,1492.6858259452783,0.0,4712.949999999989,880.3938123704605,0.0,20.0,80.0
2023-07-28_19:11:35.366031,0.7458400726318359,3927,25,20,20,7358.6830112313655,7358.6830112313655,0.0,5324.115349489123,1350.0,169.36117013861667,1338.155613743983,-3.59115102626456e-11,4714.589999999988,609.5253494891705,0.0,36.0,64.0
2023-07-28_19:11:40.121884,1.2741923332214355,3927,25,20,20,7843.532158966474,7843.532158966293,2.307499248867252e-14,5493.535370494605,1800.0,189.9214907353979,1594.4039257643728,0.0,4712.949999999989,780.5853704946156,0.0,28.000000000000004,72.0
2023-07-28_19:11:45.453522,1.8864896297454834,3927,25,20,20,7700.563689896552,7700.563689896552,0.0,5201.494066692706,1900.0,99.85109702967281,7998.657472611866,0.0,4712.949999999989,488.54406669271674,0.0,52.0,48.0
2023-07-28_19:11:48.301629,0.3072934150695801,3927,25,34,10,5245.902017941128,5245.902017941128,0.0,3357.6773886113233,1400.0,38.83793855887292,2630.098533567397,0.0,2357.0899999999992,1000.5873886113241,0.0,12.0,88.0
2023-07-28_19:11:51.085072,0.43279170989990234,3927,25,34,10,5025.211032408105,5025.211032407983,2.4252173540893187e-14,2815.8304263978293,1450.0,33.46467537876404,167.26591256762225,0.0,2354.219999999999,461.6104263978304,0.0,60.0,40.0
2023-07-28_19:11:53.774144,0.35736656188964844,3927,25,34,10,5097.390862148759,5097.390862148759,0.0,3194.8647855194044,1400.0,22.78939953343211,2537.389722788003,0.0,2355.859999999999,839.0047855194051,0.0,24.0,76.0
2023-07-28_19:11:56.535143,0.4415874481201172,3927,25,34,10,4808.8202885347955,4808.820288534742,0.0,3062.3538032998026,1250.0,41.47292384909859,1214.5460920207781,-6.658982054039621e-12,2354.219999999999,708.1338032998103,0.0,48.0,52.0
2023-07-28_19:11:59.631863,0.7696168422698975,3927,25,34,10,4544.131124381736,4544.131124381733,0.0,2519.427818768264,1450.000000000003,31.43336056920077,872.706097063454,1.4148648664544901e-11,2353.399999999999,166.02781876825048,0.0,88.0,12.0
2023-07-28_19:12:03.369700,0.7580921649932861,3927,25,34,15,6588.011411053969,6587.630696768174,5.7788953606875725e-05,4409.62551289019,1400.0,80.6058577703428,1062.290600257879,0.0,3534.6099999999788,875.0155128902113,0.0,24.0,76.0
2023-07-28_19:12:07.170678,0.7352452278137207,3927,25,34,15,7074.675481348473,7074.675481348396,0.0,4389.3028331937285,2100.0,59.116567407767725,969.9268777728191,2.0111629522154122e-11,3534.1999999999794,855.1028331937288,0.0,32.0,68.0
2023-07-28_19:12:10.774665,0.5288991928100586,3927,25,34,15,6718.911022457256,6718.911022457256,0.0,4530.71594997856,1450.0,52.33964160894254,307.40233879899233,0.0,3536.2499999999786,994.4659499785818,0.0,12.0,88.0
2023-07-28_19:12:14.549375,0.7284636497497559,3927,25,34,15,6222.295279243604,6222.295279243604,0.0,4256.720964602773,1350.0,59.32953637823942,1037.1871365388217,0.0,3533.789999999979,722.9309646027945,0.0,44.0,56.00000000000001
