start_time,execution_time,part_numbers,n_suppliers,LTL_zones,horizon,obj_value,obj_bound,obj_gap,trans_costs,order_cost,load_car_rent,load_car_invest,trans_costs_FTL,trans_costs_CES,trans_costs_LTL,share_suppl_FTL,share_suppl_CES,share_suppl_LTL
2023-07-30_11:08:37.827935,0.3713083267211914,3927,25,34,10,4938.668437867751,4938.668437867751,0.0,3140.053542353705,1400.0,28.030081788716103,805.9759716551689,0.0,2356.269999999999,783.7835423537059,0.0,28.000000000000004,72.0
2023-07-30_11:08:40.683342,0.3132295608520508,3927,25,34,10,4906.143818084597,4906.143818084597,0.0,2867.4130873722906,1450.0,15.068203952193496,439.84892475431036,0.0,2355.449999999999,511.96308737229197,0.0,48.0,52.0
2023-07-30_11:08:43.472761,0.3061060905456543,3927,25,34,10,5455.997416936264,5455.997416936264,0.0,3214.05222011345,1450.0,32.50103936540673,445.19577850935843,0.0,2357.0899999999992,856.9622201134506,0.0,16.0,84.0
2023-07-30_11:08:46.257006,0.28156518936157227,3927,25,34,10,4967.457870221754,4967.392856308033,1.3087964794069638e-05,3019.586639716689,1500.0,31.152243340927015,612.1789785021072,0.0,2355.4499999999994,664.1366397166898,0.0,40.0,60.0
2023-07-30_11:08:49.140584,0.3062300682067871,3927,25,34,10,5173.038973376028,5173.038973376028,0.0,3152.0086086135843,1400.0,73.93580994975741,527.5770312879785,0.0,2355.4499999999994,796.5586086135851,0.0,36.0,64.0
2023-07-30_11:08:53.963282,0.802574634552002,3927,50,34,10,9984.821949705134,9984.821949704934,2.0039299188099505e-14,6264.058417371116,2850.0,173.79748300781955,2086.7237613304005,0.0,4712.539999999988,1551.5184173711277,0.0,30.0,70.0
2023-07-30_11:08:58.952106,0.8162424564361572,3927,50,34,10,9602.66006620929,9602.660066209217,0.0,6110.689214776064,2650.0,129.44275318547005,3778.597902202886,0.0,4710.899999999989,1399.7892147760751,0.0,40.0,60.0
2023-07-30_11:09:03.788218,0.7831947803497314,3927,50,34,10,9963.612619364618,9963.248174920116,3.657754053920204e-05,6273.554827948075,2750.0,103.86945068147519,2447.042063124384,0.0,4711.719999999988,1561.834827948087,0.0,38.0,62.0
2023-07-30_11:09:09.277921,1.4493179321289062,3927,50,34,10,9562.490566884037,9562.490566884011,0.0,5731.992256449396,3100.0,73.25355960670605,951.8589904509985,0.0,4707.619999999988,1024.372256449408,0.0,60.0,40.0
2023-07-30_11:09:14.029149,0.551264762878418,3927,50,34,10,9682.556246802651,9682.556246802647,0.0,6155.470869734324,2700.0,150.2229641944125,3336.536949077804,0.0,4712.539999999988,1442.9308697343356,0.0,38.0,62.0
2023-07-30_11:09:20.792599,1.267711877822876,3927,75,34,10,15399.300724083416,15399.300724083294,7.914144429102079e-15,9277.618251993676,4550.0,134.15366223194565,2572.7331510416248,2.091128191893192e-11,7065.5300000000625,2212.0882519935917,0.0,34.66666666666667,65.33333333333333
2023-07-30_11:09:27.428317,0.8897032737731934,3927,75,34,10,14970.640622960753,14970.640622960613,9.355790951137718e-15,9544.529655737668,4450.0,165.75373628207817,4803.488377484115,0.0,7067.170000000062,2477.3596557376063,0.0,26.666666666666668,73.33333333333333
2023-07-30_11:09:35.070211,2.0033750534057617,3927,75,34,10,13900.546785502374,13900.546785502374,0.0,8810.907079768742,4200.0,134.66014201421706,3556.362419797187,1.3031287895618437e-11,7063.480000000063,1747.427079768665,0.0,56.00000000000001,44.0
2023-07-30_11:09:42.325900,1.5348553657531738,3927,75,34,10,14850.754184142375,14850.500494946122,1.7082579989405962e-05,8879.237435984,4300.0,125.49166745466022,3021.569572497172,2.5828534421730946e-11,7065.940000000062,1813.2974359839122,0.0,48.0,52.0
2023-07-30_11:09:49.959263,1.2955286502838135,3927,75,34,10,14984.884947707604,14984.88494770747,8.98273268911453e-15,9502.082861073619,4400.0,118.53451631943705,2318.66566161041,0.0,7066.350000000062,2435.7328610735563,0.0,41.333333333333336,58.666666666666664
2023-07-30_11:09:59.321574,2.3401925563812256,3927,100,34,10,20015.28955411051,20015.28955411051,0.0,12291.967672055953,5900.0,254.13994515089328,3401.782102205677,4.30009917937299e-11,9421.800000000136,2870.167672055774,0.0,44.0,56.00000000000001
2023-07-30_11:10:08.772141,2.164945602416992,3927,100,34,10,19831.545674648,19831.545674648,0.0,12711.573831509144,5400.0,229.64288599282082,7195.303818757615,0.0,9421.390000000136,3290.183831509007,0.0,32.0,68.0
2023-07-30_11:10:19.010033,2.822173833847046,3927,100,34,10,18868.42278546965,18868.42278546965,0.0,11662.602164966425,5450.0,197.40810324469328,2854.4374488943477,0.0,9421.390000000136,2241.212164966289,0.0,51.0,49.0
2023-07-30_11:10:28.013232,1.5356488227844238,3927,100,34,10,19742.264035670534,19742.264035670487,0.0,12492.181952742518,5550.0,216.59225289220376,3391.6261163604036,0.0,9424.260000000135,3067.921952742384,0.0,33.0,67.0
2023-07-30_11:10:38.442341,3.016606092453003,3927,100,34,10,19432.079753316153,19431.996921074646,4.262654464102875e-06,12024.295734516236,5650.0,188.53168806136193,3277.6027515730993,0.0,9423.030000000135,2601.265734516101,0.0,43.0,56.99999999999999
