start_time,execution_time,part_numbers,n_suppliers,LTL_zones,horizon,obj_value,obj_bound,obj_gap,trans_costs,order_cost,load_car_rent,load_car_invest,share_suppl_FTL,share_suppl_CES,share_suppl_LTL
2023-07-26_16:06:09.314563,0.5087502002716064,3927,25,10,10,6055.480651501374,6055.480651501374,0.0,3750.1903201638015,1900.0,57.192516668545245,348.09781466902655,0.0,52.0,68.0
2023-07-26_16:06:11.576679,0.3040354251861572,3927,25,10,10,5233.9531331770395,5233.9531331770395,0.0,3254.679939595007,1450.0,19.491404270575224,669.7570955499474,0.0,28.000000000000004,72.0
2023-07-26_16:06:13.967829,0.4696505069732666,3927,25,10,10,4944.0821997720495,4944.082199771947,2.078705352129447e-14,2882.481993512145,1350.0,26.480094706502683,749.4353926318954,0.0,48.0,52.0
2023-07-26_16:06:16.210948,0.2989218235015869,3927,25,10,10,5313.350283033109,5313.350283033088,0.0,3129.0469452344155,1600.0,38.171989132947324,265.1621700105115,0.0,32.0,68.0
2023-07-26_16:06:18.677222,0.5178604125976562,3927,25,10,10,4579.868450404098,4579.4830850601875,8.414332160063678e-05,2836.9815711243155,1450.0,39.833507694070526,1065.71021094918,0.0,60.0,40.0
2023-07-26_16:06:21.122101,0.4902071952819824,3927,25,10,15,4689.025860853629,4689.02586085361,0.0,2811.5357056615435,1400.0,28.369821744902836,806.0740558641545,0.0,52.0,48.0
2023-07-26_16:06:24.307276,0.7485744953155518,3927,25,10,15,5821.784193380471,5821.784193380387,0.0,3938.9648411468215,1450.0,66.33383760978826,866.9233107330202,0.0,68.0,32.0
2023-07-26_16:06:27.785239,0.9916770458221436,3927,25,10,15,6243.89504308681,6243.89504308681,0.0,4169.180827124302,1500.0,68.05227917311517,988.8770766332088,0.0,44.0,56.00000000000001
2023-07-26_16:06:31.329977,1.042921781539917,3927,25,10,15,5777.276926015027,5777.276926015027,0.0,3918.977002496664,1400.0,73.77871871244788,1976.8737006113217,0.0,64.0,36.0
2023-07-26_16:06:34.257458,0.46217775344848633,3927,25,10,15,7473.098312968354,7473.098312968354,0.0,4547.225348189377,1850.0,79.77524968106074,4638.795765961035,0.0,4.0,96.0
2023-07-26_16:06:37.173569,0.41407132148742676,3927,25,10,20,6895.407933713441,6895.407933713441,0.0,4501.116701328977,1550.0,43.40906250996102,485.122603832414,0.0,12.0,88.0
2023-07-26_16:06:42.520832,2.246802568435669,3927,25,10,20,7811.939852575426,7811.609528940608,4.2284457004548154e-05,5096.105497153777,1900.0,103.38453355925881,5947.9550491304635,0.0,64.0,36.0
2023-07-26_16:06:47.408984,1.8431141376495361,3927,25,10,20,7392.120096968607,7392.120096968607,0.0,5276.462584322035,1550.0,97.12614693872894,5556.127476735363,0.0,52.0,48.0
2023-07-26_16:06:52.339835,1.8569691181182861,3927,25,10,20,7953.565185969896,7953.565185969896,0.0,5406.570307016357,1699.9999999781082,29.184371275660684,4878.932144833629,0.0,44.0,56.00000000000001
2023-07-26_16:06:57.571090,1.9284799098968506,3927,25,10,20,7853.2599954204925,7853.2599954203,2.4551953824054807e-14,5348.577529989638,1750.0,38.64490169238008,1478.7700077062236,0.0,36.0,64.0
