start_time,execution_time,part_numbers,n_suppliers,LTL_zones,horizon,obj_value,obj_bound,obj_gap,trans_costs,order_cost,load_car_rent,load_car_invest,share_suppl_FTL,share_suppl_CES,share_suppl_LTL
2023-07-27_18:20:51.913095,1.5435974597930908,3927,25,10,10,6109.991384651776,6109.991384651681,0.0,3544.8068889723017,2000.0,90.8506918694023,474.3338038100725,0.0,52.0,68.0
2023-07-27_18:20:55.497636,0.43255066871643066,3927,25,10,10,4825.408096703381,4825.408096703293,0.0,3085.6845430967705,1350.0000000000068,35.15604119541631,608.4251899694988,0.0,24.0,76.0
2023-07-27_18:20:58.084837,0.4185054302215576,3927,25,10,10,5191.674118397792,5191.6215601448375,1.0123565492716421e-05,3079.0519212342892,1600.0,40.146456061992374,176.89710735154688,0.0,32.0,68.0
2023-07-27_18:21:00.962407,0.7611351013183594,3927,25,10,10,4880.327904687443,4880.199214307537,2.636920764746113e-05,2955.694098720498,1650.0,56.481533867985476,3569.424653287396,0.0,48.0,52.0
2023-07-27_18:21:03.635760,0.47754859924316406,3927,25,10,10,4930.784727139189,4930.784727139189,0.0,2993.009250277369,1599.9999999999927,29.76817458576783,997.7880165496083,0.0,44.0,56.00000000000001
2023-07-27_18:21:06.322400,0.539276123046875,3927,25,10,15,5608.445505338062,5608.445505337964,0.0,3547.497100821157,2099.9999999997367,40.170902411291,841.4022046341564,0.0,20.0,80.0
2023-07-27_18:21:09.532716,0.5309655666351318,3927,25,10,15,6409.282704468174,6409.282704468174,0.0,4383.485006253161,1600.0,66.67784483471107,3611.7865536022714,0.0,24.0,76.0
2023-07-27_18:21:12.684452,0.4932825565338135,3927,25,10,15,6246.096084749131,6246.096084749131,0.0,4611.546426312624,1350.0,75.39042649897836,945.0086126441854,0.0,8.0,92.0
2023-07-27_18:21:16.204297,0.8417544364929199,3927,25,10,15,6289.8166690709,6289.816669070737,2.6027634020580978e-14,4092.899397362516,1400.0,83.22227982094122,1551.0757717241454,0.0,40.0,60.0
2023-07-27_18:21:19.690567,0.7933111190795898,3927,25,10,15,6342.965960714515,6342.965960714515,0.0,4183.885005257296,1700.0,30.825800207172133,564.7024258549689,0.0,44.0,52.0
2023-07-27_18:21:22.854773,0.5461912155151367,3927,25,10,20,6737.113581455325,6737.113581455135,2.821451506974307e-14,4515.018555446136,1500.0,56.28958556673899,1238.9165744509307,0.0,12.0,88.0
2023-07-27_18:21:27.231233,1.1407740116119385,3927,25,10,20,7653.10297904017,7653.10297904017,0.0,5365.673300697447,1750.0,109.98996916607484,1253.9812767268827,0.0,36.0,64.0
2023-07-27_18:21:32.011259,1.4975802898406982,3927,25,10,20,7387.260015667319,7387.260015667319,0.0,5277.657669323469,1600.0,54.69247631725905,1172.6037647727649,0.0,48.0,52.0
2023-07-27_18:21:36.639595,1.167572259902954,3927,25,10,20,7687.106734619236,7687.106734619236,0.0,5894.232446763746,1600.0,67.86282619371232,1577.787526570819,0.0,24.0,76.0
2023-07-27_18:21:41.980640,1.9931957721710205,3927,25,10,20,7705.169141932919,7704.663811456297,6.558330742830498e-05,5433.349828508945,1700.0,139.54062708592886,1893.8515787131737,0.0,48.0,52.0
2023-07-27_18:21:46.754660,1.4244487285614014,3927,25,20,10,7720.213439518525,7720.213439518416,1.4136832494045387e-14,5401.676508034278,1650.0,30.21879727703936,1144.2829996730638,0.0,36.0,60.0
2023-07-27_18:21:49.489592,0.40154314041137695,3927,25,20,10,5371.694786455604,5371.694786455599,0.0,3483.5159544598437,1400.0,61.76324191194833,3453.3160026124374,0.0,8.0,92.0
2023-07-27_18:21:52.098034,0.39284515380859375,3927,25,20,10,4947.6243256961125,4947.624325695964,2.9963397911810816e-14,3132.020772324927,1349.9999955555556,85.73847162904065,1114.984538580943,0.0,36.0,60.0
2023-07-27_18:21:54.981722,0.6096396446228027,3927,25,20,10,4584.740691920985,4584.740691920975,0.0,3020.6741685991233,1400.0,31.37780785431428,882.9545924722407,0.0,48.0,52.0
2023-07-27_18:21:57.780747,0.5390810966491699,3927,25,20,10,5193.428790712735,5193.428790712654,0.0,2939.618480899168,1750.0,54.9362251659162,348.93538071721736,0.0,52.0,48.0
2023-07-27_18:22:00.511388,0.4230666160583496,3927,25,20,15,4950.320036582712,4950.320036582712,0.0,2945.186807083781,1500.0,61.44295694580515,1202.546898937755,0.0,48.0,52.0
2023-07-27_18:22:03.969749,0.6461946964263916,3927,25,20,15,5941.583029241295,5941.583029241233,0.0,4099.366029555531,1350.0,47.10756789054787,1199.7847336399811,0.0,40.0,52.0
2023-07-27_18:22:07.756033,0.7140445709228516,3927,25,20,15,6604.737583431373,6604.737583431373,0.0,4527.96105456724,1450.0,60.887104246917836,4275.065211877002,0.0,16.0,84.0
2023-07-27_18:22:11.360839,0.7871921062469482,3927,25,20,15,6313.6426395888675,6313.6426395888675,0.0,4186.5656467781155,1550.0,44.9245295934246,1113.4548098499997,0.0,40.0,60.0
2023-07-27_18:22:14.862787,0.5655200481414795,3927,25,20,15,5824.848353696928,5824.84835369683,0.0,4229.33200730269,1300.0,50.68243188343858,2704.5206153159693,0.0,40.0,60.0
2023-07-27_18:22:18.618905,0.8563981056213379,3927,25,20,20,5972.640946665825,5972.640946665759,0.0,4133.460256635906,1350.0,25.444455257742927,1035.6641907430405,0.0,48.0,52.0
2023-07-27_18:22:23.711800,1.5716016292572021,3927,25,20,20,7456.846946147431,7456.846946147431,0.0,5293.456474423624,1300.0,163.26079492834128,1105.2149041633013,0.0,40.0,60.0
2023-07-27_18:22:28.464480,1.1918559074401855,3927,25,20,20,7913.030331105279,7913.030331105279,0.0,5534.2138099287895,1750.0,57.147070296111366,1251.8031765123544,0.0,32.0,64.0
2023-07-27_18:22:34.138228,2.0617120265960693,3927,25,20,20,7274.350585404288,7274.350585404288,0.0,5165.722178595261,1400.0,68.06882848613452,982.182834507575,0.0,56.00000000000001,44.0
2023-07-27_18:22:39.462811,1.698030948638916,3927,25,20,20,7367.084249761102,7367.084249761013,0.0,5209.079693902029,1550.0,148.03219763357706,1239.0564767241556,0.0,56.00000000000001,44.0
2023-07-27_18:22:44.081235,1.0301129817962646,3927,25,34,10,7658.767021739735,7658.767021739642,0.0,5572.205495101015,1550.0,159.0955328673586,728.3919120405712,0.0,32.0,68.0
2023-07-27_18:22:47.027520,0.42496299743652344,3927,25,34,10,4974.637765825995,4974.637765825962,0.0,2953.1139377806558,1350.0,41.690195936947404,2903.687603282569,0.0,48.0,52.0
2023-07-27_18:22:50.545647,1.0379774570465088,3927,25,34,10,5182.716697446666,5182.716697446664,0.0,2806.1879392807223,1900.0,50.45890257426084,371.24972221033704,0.0,60.0,40.0
2023-07-27_18:22:53.414508,0.39202380180358887,3927,25,34,10,5062.403889776161,5062.403889776134,0.0,3049.908524117982,1500.0,113.91851828125789,2374.535440877434,0.0,36.0,64.0
2023-07-27_18:22:56.257677,0.3487110137939453,3927,25,34,10,5073.999781383211,5073.999781383211,0.0,3118.707095814482,1450.0,19.508286268791245,846.854325870549,0.0,36.0,64.0
2023-07-27_18:22:59.115150,0.44657444953918457,3927,25,34,15,4635.600587387464,4635.600587387464,0.0,2720.766334716992,1450.0,45.68129611424563,218.61943150465123,0.0,68.0,32.0
2023-07-27_18:23:03.051613,0.7900817394256592,3927,25,34,15,6827.606230584093,6827.606230584093,0.0,4371.970489651057,1500.0,29.55054932635581,916.5788459503277,0.0,28.000000000000004,72.0
2023-07-27_18:23:07.145183,0.744408369064331,3927,25,34,15,6435.150823609205,6435.150823608972,3.618107019336102e-14,4363.37763501457,1400.0,118.61580851597114,1713.8220669628847,0.0,28.000000000000004,72.0
2023-07-27_18:23:11.284145,0.9730198383331299,3927,25,34,15,6738.087857345139,6738.087857345139,0.0,4361.358369554195,1850.0,42.40411778516291,1888.3226463141257,0.0,32.0,68.0
