start_time,execution_time,part_numbers,n_suppliers,LTL_zones,horizon,obj_value,obj_bound,obj_gap,trans_costs,order_cost,load_car_rent,load_car_invest,share_suppl_FTL,share_suppl_CES,share_suppl_LTL
2023-07-28_09:12:35.305726,0.3083007335662842,3927,25,34,10,6174.78909513421,6174.789095134174,0.0,3888.4931630090973,1700.0,64.58250841035333,521.7134237147523,0.0,28.000000000000004,92.0
2023-07-28_09:12:37.934198,0.3467681407928467,3927,25,34,10,4959.4464134182435,4959.4464134182435,0.0,2779.104801243117,1850.0,42.510614577731445,890.8094667117434,0.0,64.0,36.0
2023-07-28_09:12:40.427591,0.24231863021850586,3927,25,34,10,5059.5283571027185,5059.52835710271,0.0,3362.3046702674064,1350.0,64.12690235355001,1077.319079837064,0.0,12.0,88.0
2023-07-28_09:12:43.036437,0.30560922622680664,3927,25,34,10,5350.992986477488,5350.992986477488,0.0,3052.6167881226675,1650.0,45.79059263965344,896.0477150746633,0.0,36.0,64.0
2023-07-28_09:12:45.633503,0.3305082321166992,3927,25,34,10,5166.225807170709,5165.711484154352,9.955488504658748e-05,3092.0595611299696,1450.0,67.54128057184461,559.261579283718,0.0,32.0,68.0
2023-07-28_09:12:48.227007,0.297499418258667,3927,50,34,10,4943.187638349105,4943.09807150324,1.811924863428926e-05,2995.7906450629107,1450.0,33.933445505107315,1134.8542211609517,0.0,20.0,30.0
2023-07-28_09:12:52.829507,1.0539627075195312,3927,50,34,10,9703.539796465044,9703.53979646501,0.0,5765.8180944734895,2750.0,88.58365001885909,663.2747387814973,0.0,56.00000000000001,44.0
2023-07-28_09:12:57.257947,0.7037508487701416,3927,50,34,10,9945.048293598358,9945.048293598102,2.578946811802419e-14,6542.990834899525,2850.0,86.07865915288073,878.1715027436335,0.0,30.0,70.0
2023-07-28_09:13:01.757394,0.7225048542022705,3927,50,34,10,10575.259244773888,10575.259244773828,0.0,6369.884113076845,2650.0,117.61657653533037,1524.5988723509063,0.0,30.0,70.0
2023-07-28_09:13:06.132557,0.6461992263793945,3927,50,34,10,9882.996529026754,9882.996529026754,0.0,5832.06533806501,2700.0,90.784384167593,3139.682632902377,0.0,48.0,52.0
2023-07-28_09:13:10.485333,0.6249642372131348,3927,75,34,10,9844.159317573174,9844.159317573132,0.0,6140.066198296656,2900.0,92.68320422185636,1330.1933878016962,0.0,28.000000000000004,38.666666666666664
2023-07-28_09:13:16.732937,1.1735115051269531,3927,75,34,10,15124.58480437275,15124.5848043727,0.0,9373.876757611615,4350.0,170.1422832803436,2438.520834204289,0.0,38.666666666666664,61.33333333333333
2023-07-28_09:13:23.411034,1.1355466842651367,3927,75,34,10,14951.598939220501,14951.598939220501,0.0,9590.950879435379,4700.0,180.0988488527197,2766.8229154595406,0.0,33.33333333333333,66.66666666666666
2023-07-28_09:13:29.924003,1.3426623344421387,3927,75,34,10,15523.279639541275,15523.279639541275,0.0,9020.158922112289,4700.0,135.44710891606687,3924.1555873078123,0.0,45.33333333333333,54.666666666666664
2023-07-28_09:13:36.148160,1.0062484741210938,3927,75,34,10,14797.611498495795,14797.61096600531,3.5984894258840206e-08,9047.199143993792,3950.0,173.22451942657057,1633.0174490131972,0.0,34.66666666666667,65.33333333333333
2023-07-28_09:13:42.208870,0.9065370559692383,3927,100,34,10,15797.289962906434,15797.289962906434,0.0,9623.100488673437,4850.0,125.29874648545358,2601.1579701587516,0.0,20.0,55.00000000000001
2023-07-28_09:13:51.426998,2.7165608406066895,3927,100,34,10,18885.830870088008,18885.64655552791,9.759409652967365e-06,11921.429211703458,5550.0,281.38332954827865,3324.1352535324036,0.0,48.0,52.0
2023-07-28_09:13:59.715720,1.6119251251220703,3927,100,34,10,20019.231763149375,20019.2317631493,0.0,12551.329433996165,5950.0,192.4916635956971,6073.8337010841,0.0,33.0,67.0
2023-07-28_09:14:09.111549,2.770439863204956,3927,100,34,10,20555.27504147556,20554.923140718503,1.7119729915923862e-05,11861.42088113926,6050.0,177.5875625315912,3451.4675448929306,0.0,47.0,53.0
2023-07-28_09:14:18.428354,2.717833995819092,3927,100,34,10,20596.641732437565,20596.641732437565,0.0,12353.774560966878,6700.0,148.82258760707688,7178.156743025743,0.0,39.0,61.0
